"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat May 25 22:22:07 GMT 2024","Sat May 25 22:22:09 GMT 2024","2223","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[1] login-valido, ok, William 123, 123, 200, Login realizado com sucesso",""
"passed","Sat May 25 22:22:11 GMT 2024","Sat May 25 22:22:11 GMT 2024","466","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[2] criacao-admin, ok, william, 123, ADMIN, 200, null, Usuário admin cadastrado com sucesso",""
"passed","Sat May 25 22:22:10 GMT 2024","Sat May 25 22:22:11 GMT 2024","607","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[1] criacao-usuario, ok, william, 123, USER, 200, null, Usuário cadastrado com sucesso",""
"passed","Sat May 25 22:22:10 GMT 2024","Sat May 25 22:22:10 GMT 2024","558","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[3] login-senha-invalida, nok, william, senha_incorreta, 403, Senha inserida é inválida",""
"passed","Sat May 25 22:22:09 GMT 2024","Sat May 25 22:22:10 GMT 2024","382","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[2] login-user-invalido, nok, user_inexistente, 123, 403, Usuário não localizado",""
"passed","Sat May 25 22:22:12 GMT 2024","Sat May 25 22:22:12 GMT 2024","373","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[4] role-invalida, nok, william, 123, INVALIDO, 403, null, Role informada é invalida",""
"passed","Sat May 25 22:22:11 GMT 2024","Sat May 25 22:22:12 GMT 2024","547","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[3] criacao-usuario-existente, nok, william, 123, USER, 403, null, Usuário já existe no banco de dados",""
