"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 27 01:02:45 GMT 2024","Thu Jun 27 01:02:50 GMT 2024","5010","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[4] login-senha-invalida, nok, william, senha_incorreta, 403, Senha inserida é inválida",""
"broken","Thu Jun 27 01:02:35 GMT 2024","Thu Jun 27 01:02:40 GMT 2024","5008","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[2] login-valido, ok, William User, 123, 200, Login realizado com sucesso",""
"broken","Thu Jun 27 01:02:20 GMT 2024","Thu Jun 27 01:02:25 GMT 2024","5008","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[3] criacao-usuario-existente, nok, william, 123, USER, 403, null, Usuário já existe no banco de dados",""
"broken","Thu Jun 27 01:02:40 GMT 2024","Thu Jun 27 01:02:45 GMT 2024","5008","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[3] login-user-invalido, nok, user_inexistente, 123, 403, Usuário não localizado",""
"broken","Thu Jun 27 01:02:15 GMT 2024","Thu Jun 27 01:02:20 GMT 2024","5009","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[2] criacao-admin, ok, william, 123, ADMIN, 200, null, Usuário admin cadastrado com sucesso",""
"broken","Thu Jun 27 01:02:30 GMT 2024","Thu Jun 27 01:02:35 GMT 2024","5008","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[1] login-valido, ok, William Admin, 123, 200, Login realizado com sucesso",""
"broken","Thu Jun 27 01:02:09 GMT 2024","Thu Jun 27 01:02:15 GMT 2024","5381","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[1] criacao-usuario, ok, william, 123, USER, 200, null, Usuário cadastrado com sucesso",""
"broken","Thu Jun 27 01:02:25 GMT 2024","Thu Jun 27 01:02:30 GMT 2024","5009","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[4] role-invalida, nok, william, 123, INVALIDO, 403, null, Role informada é invalida",""
