"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 22:59:01 GMT 2024","Mon Jun 24 22:59:02 GMT 2024","388","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[2] criacao-admin, ok, william, 123, ADMIN, 200, null, Usuário admin cadastrado com sucesso",""
"failed","Mon Jun 24 22:59:03 GMT 2024","Mon Jun 24 22:59:03 GMT 2024","298","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[1] login-valido, ok, William Admin, 123, 200, Login realizado com sucesso",""
"passed","Mon Jun 24 22:59:03 GMT 2024","Mon Jun 24 22:59:03 GMT 2024","286","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[3] login-user-invalido, nok, user_inexistente, 123, 403, Usuário não localizado",""
"passed","Mon Jun 24 22:59:02 GMT 2024","Mon Jun 24 22:59:03 GMT 2024","284","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[4] role-invalida, nok, william, 123, INVALIDO, 403, null, Role informada é invalida",""
"passed","Mon Jun 24 22:59:01 GMT 2024","Mon Jun 24 22:59:01 GMT 2024","867","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[1] criacao-usuario, ok, william, 123, USER, 200, null, Usuário cadastrado com sucesso",""
"failed","Mon Jun 24 22:59:03 GMT 2024","Mon Jun 24 22:59:03 GMT 2024","290","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[2] login-valido, ok, William User, 123, 200, Login realizado com sucesso",""
"passed","Mon Jun 24 22:59:02 GMT 2024","Mon Jun 24 22:59:02 GMT 2024","453","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[3] criacao-usuario-existente, nok, william, 123, USER, 403, null, Usuário já existe no banco de dados",""
"passed","Mon Jun 24 22:59:03 GMT 2024","Mon Jun 24 22:59:04 GMT 2024","384","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[4] login-senha-invalida, nok, william, senha_incorreta, 403, Senha inserida é inválida",""
