"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 25 22:02:50 GMT 2024","Sat May 25 22:02:51 GMT 2024","664","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[1] login-valido, ok, William 123, 123, 200, Login realizado com sucesso",""
"broken","Sat May 25 22:02:51 GMT 2024","Sat May 25 22:02:51 GMT 2024","275","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[2] login-user-invalido, nok, user_inexistente, 123, 403, Usuário não localizado",""
"broken","Sat May 25 22:02:52 GMT 2024","Sat May 25 22:02:52 GMT 2024","272","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[2] criacao-usuario-existente, nok, william, 123, USER, 403, null, Usuário já existe no banco de dados",""
"broken","Sat May 25 22:02:51 GMT 2024","Sat May 25 22:02:52 GMT 2024","272","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[3] login-senha-invalida, nok, william, senha_incorreta, 403, Senha inserida é inválida",""
"broken","Sat May 25 22:02:52 GMT 2024","Sat May 25 22:02:52 GMT 2024","271","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[3] role-invalida, nok, william, 123, INVALIDO, 403, null, Role informada é invalida",""
"broken","Sat May 25 22:02:52 GMT 2024","Sat May 25 22:02:52 GMT 2024","282","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[1] criacao-usuario, ok, william, 123, USER, 200, null, Usuário cadastrado com sucesso",""
