"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 16:56:29 GMT 2024","Sun May 26 16:56:31 GMT 2024","2012","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[1] login-valido, ok, William 123, 123, 200, Login realizado com sucesso",""
"passed","Sun May 26 16:56:32 GMT 2024","Sun May 26 16:56:32 GMT 2024","499","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[3] login-senha-invalida, nok, william, senha_incorreta, 403, Senha inserida é inválida",""
"passed","Sun May 26 16:56:34 GMT 2024","Sun May 26 16:56:34 GMT 2024","373","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[4] role-invalida, nok, william, 123, INVALIDO, 403, null, Role informada é invalida",""
"passed","Sun May 26 16:56:33 GMT 2024","Sun May 26 16:56:34 GMT 2024","526","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[3] criacao-usuario-existente, nok, william, 123, USER, 403, null, Usuário já existe no banco de dados",""
"passed","Sun May 26 16:56:32 GMT 2024","Sun May 26 16:56:33 GMT 2024","596","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[1] criacao-usuario, ok, william, 123, USER, 200, null, Usuário cadastrado com sucesso",""
"passed","Sun May 26 16:56:33 GMT 2024","Sun May 26 16:56:33 GMT 2024","466","","Testes Cadastro de Usuários","","br.com.sistemaescolar.tests.RegisterTest","register","[2] criacao-admin, ok, william, 123, ADMIN, 200, null, Usuário admin cadastrado com sucesso",""
"passed","Sun May 26 16:56:31 GMT 2024","Sun May 26 16:56:32 GMT 2024","399","","Testes Login de Usuários","","br.com.sistemaescolar.tests.LoginTest","login","[2] login-user-invalido, nok, user_inexistente, 123, 403, Usuário não localizado",""
